url,rate,pub,title
https://book.douban.com/subject/26909485/,9.4,"
        
  
  费·索洛古勃、瓦·勃留索夫、安德列·别雷 / 刘开华、周启超 / 浙江文艺出版社 / 2017-2 / 46.00

      ","

    南十字星共和国


    
      "
https://book.douban.com/subject/6781794/,8.8,"
        
  
  (捷克) 赫拉巴尔 / 杨乐云 / 北京十月文艺出版社 / 2011-10 / 22.00元

      ","

    过于喧嚣的孤独


    

  "
https://book.douban.com/subject/26959623/,8,"
        
  
  [日] 三浦紫苑 / 周慧 / 北京联合出版公司 / 2017-3 / 32.00元

      ","

    假如岁月足够长


    

  "
https://book.douban.com/subject/26878908/,8.7,"
        
  
  [英] 伊恩·麦克尤恩 / 郭国良 / 上海译文出版社 / 2017-3 / 39

      ","

    儿童法案


    

  "
https://book.douban.com/subject/6880158/,8.7,"
        
  
  严歌苓 / 作家出版社 / 2011-10-1 / 35.00元

      ","

    陆犯焉识


    

  "
https://book.douban.com/subject/26451351/,8.6,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 陶玉平 / 南海出版公司 / 2016-1 / 35.00

      ","

    爱情和其他魔鬼


    

  "
https://book.douban.com/subject/26939182/,7.9,"
        
  
  [美] 莉莉·金 / 马韧 / 博集天卷/湖南文艺出版社 / 2017-2-1 / 38.00元

      ","

    欢愉


    

  "
https://book.douban.com/subject/4011670/,8.3,"
        
  
  太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元

      ","

    人间失格


    

  "
https://book.douban.com/subject/26819479/,8.3,"
        
  
  [英] 埃拉·伯绍德、[英] 苏珊·埃尔德金 / 汪芃 / 上海人民出版社 / 2016-10 / 59.00元

      ","

    小说药丸


    

  "
https://book.douban.com/subject/26910597/,7.7,"
        
  
  [法] 米歇尔·普西 / 梁若瑜 / 湖南文艺出版社 / 2016-12 / 39.00元

      ","

    直到那一天


    

  "
https://book.douban.com/subject/10763902/,7.8,"
        
  
  (法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元

      ","

    偷影子的人


    

  "
https://book.douban.com/subject/1008988/,8.3,"
        
  
  菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元

      ","

    了不起的盖茨比


    

  "
https://book.douban.com/subject/1456692/,8.6,"
        
  
  兰陵笑笑生 / 齐鲁出版社 / 1991 / 268.00元

      ","

    金瓶梅


    
      "
https://book.douban.com/subject/2154960/,8.6,"
        
  
  [奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元

      ","

    一个陌生女人的来信


    

  "
https://book.douban.com/subject/6800379/,8.6,"
        
  
  [智利] 罗贝托·波拉尼奥 / 赵德明 / 上海人民出版社 / 2012-1-1 / 98.00元

      ","

    2666


    

  "
https://book.douban.com/subject/1388826/,9.2,"
        
  
  薩爾曼．魯西迪 / 黃斐娟、何振盛 / 臺灣商務印書館 / 2003-11 / 204.00元

      ","

    摩爾人的最後嘆息


    

  "
https://book.douban.com/subject/24382569/,8.6,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00

      ","

    一桩事先张扬的凶杀案


    

  "
https://book.douban.com/subject/27010212/,8.5,"
        
  
  严歌苓 / 人民文学出版社 / 2017-5-1 / 39.00元

      ","

    芳华


    

  "
https://book.douban.com/subject/4011440/,8,"
        
  
  [英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元

      ","

    最初的爱情 最后的仪式


    

  "
https://book.douban.com/subject/6073466/,8.4,"
        
  
  [美] 斯蒂芬·金 / 刘鹏飞、张玉荣 / 珠海出版社 / 2000-1-1

      ","

    死光


    

  "
https://book.douban.com/subject/1080370/,8.6,"
        
  
  [日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元

      ","

    情书


    

  "
https://book.douban.com/subject/1003000/,8.4,"
        
  
  今何在 / 光明日报出版社 / 2001-4 / 14.80元

      ","

    悟空传


    
      "
https://book.douban.com/subject/26905360/,9,"
        
  
  [美] 克里斯汀·汉娜 / 黄瑶 / 四川人民出版社 / 2016-11 / 38.00元

      ","

    夜莺


    

  "
https://book.douban.com/subject/6797396/,8.5,"
        
  
  [英] 安吉拉·卡特 / 严韵 / 南京大学出版社 / 2012-3-29 / 100.00元

      ","

    焚舟纪


    

  "
https://book.douban.com/subject/26931507/,7.5,"
        
  
  程耳 / 江西人民出版社 / 2016-12-15 / 36元

      ","

    罗曼蒂克消亡史


    

  "
https://book.douban.com/subject/1059419/,8.1,"
        
  
  [日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元

      ","

    海边的卡夫卡


    

  "
https://book.douban.com/subject/1092335/,8.9,"
        
  
  [美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997.8 / 23.30元

      ","

    教父


    

  "
https://book.douban.com/subject/3578470/,9,"
        
  
  [德] 赫尔曼·黑塞 / 丁君君、谢莹莹 / 上海人民出版社 / 2009-3 / 25.00元

      ","

    德米安


    
      "
https://book.douban.com/subject/1291809/,8.5,"
        
  
  [日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元

      ","

    世界尽头与冷酷仙境


    

  "
https://book.douban.com/subject/26586492/,8.9,"
        
  
  [美] 安迪·威尔 / 陈灼 / 译林出版社 / 2015-10-1 / 38.00

      ","

    火星救援


    

  "
https://book.douban.com/subject/26959630/,8.9,"
        
  
  [英] 安德鲁·麦克尔·赫尔利 / 刘勇军 / 九州出版社 / 2017-4 / 46.00元

      ","

    罗尼


    

  "
https://book.douban.com/subject/26371317/,8.1,"
        
  
  [美] 丹尼尔·凯斯 / 邢世阳 / 外语教学与研究出版社 / 2015-6-30 / 39.00元

      ","

    24个比利


    

  "
https://book.douban.com/subject/1863930/,8.8,"
        
  
  [意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元

      ","

    看不见的城市


    

  "
https://book.douban.com/subject/5337243/,8.6,"
        
  
  白先勇 / 广西师范大学出版社 / 2010.10 / 32.00元

      ","

    纽约客


    

  "
https://book.douban.com/subject/26864983/,8.1,"
        
  
  [美] 安·泰勒 / 刘韶方 / 百花文艺出版社 / 2016-10 / 39.50

      ","

    思家小馆的晚餐


    

  "
https://book.douban.com/subject/1086249/,8.6,"
        
  
  [澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元

      ","

    荆棘鸟


    

  "
https://book.douban.com/subject/1254588/,8.9,"
        
  
  林海音 文、关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元

      ","

    城南旧事


    
      "
https://book.douban.com/subject/1963684/,8.6,"
        
  
  张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元

      ","

    半生缘


    

  "
https://book.douban.com/subject/1082387/,9.2,"
        
  
  [英] 乔治·奥威尔 / 董乐山、傅惟慈 / 上海译文出版社 / 2003-4 / 23.00元

      ","

    一九八四·动物农场


    

  "
https://book.douban.com/subject/26892080/,8.6,"
        
  
  [挪] 尤·奈斯博 / 林立仁 / 湖南文艺出版社/博集天卷 / 2016-11-1 / 58.00元（全两册）

      ","

    猎豹


    

  "
https://book.douban.com/subject/1007305/,9.5,"
        
  
  [清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元

      ","

    红楼梦


    

  "
https://book.douban.com/subject/1060852/,8.8,"
        
  
  萧红 / 百花文艺出版社 / 2005-01 / 19.00

      ","

    呼兰河传


    
      "
https://book.douban.com/subject/27007140/,8.8,"
        
  
  弋舟 / 中信出版集团/中信·大方 / 2017-5 / 40

      ","

    丙申故事集


    

  "
https://book.douban.com/subject/26931701/,8.2,"
        
  
  马伯庸 / 湖南文艺出版社 / 2017-1-1 / 79.60元

      ","

    长安十二时辰


    

  "
https://book.douban.com/subject/1066165/,9.3,"
        
  
  [意大利] 卡尔维诺 / 吴正仪 / 译林出版社 / 2001-9 / 21.00元

      ","

    卡尔维诺文集（第三卷）


    
      "
https://book.douban.com/subject/1760432/,9.2,"
        
  
  汪曾祺 / 漓江出版社 / 1987-10 / 3.95元

      ","

    受戒


    
      "
https://book.douban.com/subject/1076654/,8.7,"
        
  
  白先勇 / 花城出版社 / 2000-4-1 / 21.80元

      ","

    孽子


    
      "
https://book.douban.com/subject/1019568/,9.2,"
        
  
  [明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元

      ","

    三国演义（全二册）


    

  "
https://book.douban.com/subject/3673771/,9,"
        
  
  [澳] 格里高利·大卫·罗伯兹 / 黄中宪 / 华文出版社 / 2009-4 / 58.00

      ","

    项塔兰


    

  "
https://book.douban.com/subject/1014278/,8.4,"
        
  
  张爱玲 / 花城出版社 / 1996-06 / 12.80元

      ","

    红玫瑰与白玫瑰


    

  "
https://book.douban.com/subject/11528350/,8.8,"
        
  
  (塞尔维亚)米洛拉德·帕维奇 / 南山、戴骢、石枕川 / 上海译文出版社 / 2013-1-1 / 45.00元

      ","

    哈扎尔辞典（阳本）


    
      "
https://book.douban.com/subject/2136484/,8.7,"
        
  
  [意大利] 伊塔洛·卡尔维诺 / 萧天佑 / 译林出版社 / 2007-6 / 25.00元

      ","

    如果在冬夜，一个旅人


    

  "
https://book.douban.com/subject/1465324/,7.7,"
        
  
  [美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元

      ","

    洛丽塔


    

  "
https://book.douban.com/subject/1939182/,8,"
        
  
  [英] 尼尔·盖曼 / 戚林 / 四川科学技术出版社 / 2006-12 / 36.00元

      ","

    美国众神


    

  "
https://book.douban.com/subject/3831788/,8,"
        
  
  艾丽丝·门罗 / 李文俊 / 北京十月文艺出版社 / 2009-1-7 / 28.00元

      ","

    逃离


    

  "
https://book.douban.com/subject/3888110/,8.7,"
        
  
  [美] 托马斯·沃尔夫 / 王建开、陈庆勋 / 上海译文出版社 / 2009-8 / 35.00元

      ","

    天使望故乡


    

  "
https://book.douban.com/subject/1092168/,9.1,"
        
  
  [法国] 马塞尔·普鲁斯特 / 李恒基、徐继增、桂裕芳、袁树仁、潘丽珍、许渊冲 / 译林出版社 / 2001-4 / 68.00元

      ","

    追忆似水年华（上下册）


    

  "
https://book.douban.com/subject/25752955/,9,"
        
  
  [日] 贵志祐介 / 丁丁虫 / 上海译文出版社 / 2014-4 / 88.00

      ","

    来自新世界 （上下）


    

  "
https://book.douban.com/subject/27016545/,8.6,"
        
  
  朱朱（zhuzhu6p） / 浙江文艺出版社 / 2017-5-1 / 78.00元

      ","

    外科风云


    

  "
